"lat","long","month","year","cloudhigh","cloudlow","cloudmid","ozone","pressure","surftemp","temperature"
36.2,-113.8,1,1995,26,7.5,34.5,304,835,272.7,272.1
33.704347826087,-113.8,1,1995,20,11.5,32.5,304,940,279.5,282.2
31.2086956521739,-113.8,1,1995,16,16.5,26,298,960,284.7,285.2
28.7130434782609,-113.8,1,1995,13,20.5,14.5,276,990,289.3,290.7
26.2173913043478,-113.8,1,1995,7.5,26,10.5,274,1000,292.2,292.7
23.7217391304348,-113.8,1,1995,8,30,9.5,264,1000,294.1,293.6
21.2260869565217,-113.8,1,1995,14.5,29.5,11,258,1000,295,294.6
18.7304347826087,-113.8,1,1995,19.5,26.5,17.5,252,1000,298.3,296.9
16.2347826086957,-113.8,1,1995,22.5,27.5,18.5,250,1000,300.1,297.8
13.7391304347826,-113.8,1,1995,21,26,16.5,250,1000,300.1,298.7
11.2434782608696,-113.8,1,1995,19,28.5,12.5,248,1000,301,300.1
8.74782608695652,-113.8,1,1995,16.5,28,13.5,248,1000,301,300.1
6.25217391304348,-113.8,1,1995,17.5,33,18.5,250,1000,299.2,300.5
3.75652173913043,-113.8,1,1995,5.5,44.5,13,248,1000,298.7,299.6
1.26086956521739,-113.8,1,1995,0.5,43.5,4,248,1000,297.8,298.3
-1.23478260869565,-113.8,1,1995,0,37,1,248,1000,298.3,297.8
-3.7304347826087,-113.8,1,1995,0.5,29,1.5,248,1000,298.7,298.3
-6.22608695652174,-113.8,1,1995,1.5,25.5,4,250,1000,299.2,298.3
-8.72173913043478,-113.8,1,1995,1.5,27,4.5,252,1000,298.7,298.3
-11.2173913043478,-113.8,1,1995,2,34.5,4.5,252,1000,298.3,298.3
-13.7130434782609,-113.8,1,1995,4,34.5,3.5,254,1000,298.3,297.8
-16.2086956521739,-113.8,1,1995,3.5,31,3,258,1000,297.8,296.9
-18.704347826087,-113.8,1,1995,2.5,34,4,258,1000,297.8,296.9
-21.2,-113.8,1,1995,0.5,31,2,260,1000,297.4,296.9
36.2,-111.295652173913,1,1995,23,7,32,306,810,270.9,270.3
33.704347826087,-111.295652173913,1,1995,20,11.5,32.5,304,940,279.5,282.2
31.2086956521739,-111.295652173913,1,1995,16,16.5,26,298,960,284.7,285.2
28.7130434782609,-111.295652173913,1,1995,11,13.5,17,280,950,286.8,286.8
26.2173913043478,-111.295652173913,1,1995,8,22,10.5,272,1000,293.2,293.6
23.7217391304348,-111.295652173913,1,1995,11,24.5,12.5,262,1000,295,295
21.2260869565217,-111.295652173913,1,1995,13.5,27.5,16,258,1000,296.5,295
18.7304347826087,-111.295652173913,1,1995,19.5,26.5,17.5,252,1000,298.3,296.9
16.2347826086957,-111.295652173913,1,1995,26,23,17,250,1000,301.4,298.3
13.7391304347826,-111.295652173913,1,1995,26.5,26,15.5,248,1000,301,299.6
11.2434782608696,-111.295652173913,1,1995,20,26.5,12.5,248,1000,301.4,300.5
8.74782608695652,-111.295652173913,1,1995,16.5,27,15.5,248,1000,301,300.5
6.25217391304348,-111.295652173913,1,1995,15,33.5,19,246,1000,300.5,299.6
3.75652173913043,-111.295652173913,1,1995,4.5,47,15.5,248,1000,298.7,299.2
1.26086956521739,-111.295652173913,1,1995,0.5,47,5.5,246,1000,298.3,297.8
-1.23478260869565,-111.295652173913,1,1995,0,43,0.5,248,1000,298.7,297.4
-3.7304347826087,-111.295652173913,1,1995,0,32,1,246,1000,298.7,297.8
-6.22608695652174,-111.295652173913,1,1995,1,29.5,3,250,1000,298.7,298.3
-8.72173913043478,-111.295652173913,1,1995,3,26,4.5,250,1000,298.7,297.8
